"A","AAAA","A__ip_address","A__country_code","A__asn_date","A__reg_timestamp","A__last_updated","AAAA__ip_address","AAAA__country_code","AAAA__asn_date","AAAA__reg_timestamp","AAAA__last_updated","MX","NS","SOA","MX__001","MX__002","MX__003","MX__004","MX__005","MX__006","MX__007","NS__001","NS__002","NS__003","NS__004","NS__005","NS__006","NS__007","NS__008","NS__009","NS__010","NS__011","NS__012","NS__013","SOA__-","CNAME","TXT","TXT__001","TXT__002","TXT__003","TXT__004","TXT__005","TXT__006","TXT__007","TXT__008","TXT__009","TXT__010","TXT__011","TXT__012","TXT__013","TXT__014","TXT__015","TXT__016","TXT__017","TXT__018","SRV","PTR","domain_name"
"null","null","","","","","","","","","","","","","","0 smtp.google.com.","","","","","","","ns1.google.com.","ns4.google.com.","ns2.google.com.","ns3.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""v=spf1 -all""","","","","","","","","","","","","","","","","","","null","null","ytimg.com"
"null","null","","","","","","","","","","","null","","","","","","","","","","ns1.google.com.","ns4.google.com.","ns3.google.com.","ns2.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""v=spf1 include:_spf.google.com ?all""","","","","","","","","","","","","","","","","","","null","null","googleusercontent.com"
"","","17.253.144.10","US","1990-04-16","2023-11-15T12:49:22-05:00","1990-04-16T00:00:00-04:00","2620:149:af0::10","US","2011-04-26","2023-11-15T12:50:38-05:00","2011-04-26T16:25:02-04:00","","","","10 mx-in.g.apple.com.","20 mx-in-vib.apple.com.","20 mx-in-mdn.apple.com.","20 mx-in-rno.apple.com.","20 mx-in-hfd.apple.com.","","","b.ns.apple.com.","a.ns.apple.com.","c.ns.apple.com.","d.ns.apple.com.","","","","","","","","","","usmsc2-extxfr-001.dns.apple.com. hostmaster.apple.com. 2010130628 900 900 2016000 14400","null","","""Dynatrace-site-verification=7d881a7c-c13f-4146-9d27-2731459e2509__iqls0105tagglcsaul0m16ibrf""","""v=spf1 include:_spf.apple.com include:_spf-txn.apple.com ~all""","""cisco-ci-domain-verification=6f3bfb849796a518061f8e8c4356f687a138502d86db742791685059176547dd""","""ValidationTokenValue=77a4a6de-da14-449c-83c4-85366e0f55f9""","""facebook-domain-verification=n6cqjfucq6plswmtfbwnbbeu1qiq3v""","""miro-verification=2494d255c4c50b1e521650a0659cbf3fa08b0072""","""atlassian-domain-verification=mLabq99iaT8kquJechF6l31FAYoNUe3WB7tLpLFUiUYVJCse9SKq83hOJzFkwqrh""","""json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJpZW4wYWVHaGF0aG9oNmhhaHZpZWphaTNlYXkwYWh2YWhjaGFocXVhZWxlZTBZdWw0cGhpZXRoMHNvNXZpZXllZWNvaDRpZThzaGVlcGllVDNwYWVjaGVpVjZqb2h3aWVwaG82In0K""","""77a4a6de-da14-449c-83c4-85366e0f55f9""","""cerner-client-id=ce3abf18-ee87-43b9-9927-9eb24b4bac4a""","""json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJxdWFoMGVpamFhNGVlajh0aWVkYWlnaG9jZWljaGFlOGVUb3ppZTVmdTVhaFRoMldlaU00aWsyaHVxdThpZXBoaWVxdW9oc2hlaXBhZWdoOUthZWw3b2NoaWVuZ2llem9lc2g1In0K""","""google-site-verification=zBSq1mG5ssu2If-C17UAz_MzSZDcx03MVxmeDwMNc5w""","""adobe-idp-site-verification=6bd5e74c-a3a0-4781-b2e1-e95399b5e11c""","""webexdomainverification.8C462=b728ec3f-dfc9-42f9-92cb-9ba8853cbee8""","""google-site-verification=L5kkMdiFI8npvb6KlHui84fJaCw5G64DWhaDRIAT4_c""","""apple-domain-verification=X5Jt76bn3Dnmgzjj""","""google-site-verification=8M6XjQCzydT62jk8HY3VXPAG-nKDllTRV-JpA3-Ktyw""","""cerner-client-id=22dd1d8a-5e8b-4e1e-80ef-39bcdfd42798""","null","null","apple.com"
"null","null","","","","","","","","","","","null","","","","","","","","","","ns1-34.azure-dns.com.","ns2-34.azure-dns.net.","ns3-34.azure-dns.org.","ns4-34.azure-dns.info.","","","","","","","","","","ns1-34.azure-dns.com. azuredns-hostmaster.microsoft.com. 1 3600 300 2419200 300","null","null","","","","","","","","","","","","","","","","","","","null","null","msftncsi.com"
"null","null","","","","","","","","","","","null","","","","","","","","","","ns1.google.com.","ns4.google.com.","ns3.google.com.","ns2.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""v=spf1 -all""","","","","","","","","","","","","","","","","","","null","null","2mdn.net"
"null","null","","","","","","","","","","","null","","","","","","","","","","ns1.google.com.","ns2.google.com.","ns4.google.com.","ns3.google.com.","","","","","","","","","","ns1.google.com. dns-admin.google.com. 589555543 900 900 1800 60","null","","""v=spf1 -all""","","","","","","","","","","","","","","","","","","null","null","googletagservices.com"
"null","null","","","","","","","","","","","null","","","","","","","","","","ns1.gslb.com.","ns2.gslb.com.","","","","","","","","","","","","ns1.gslb.com. support.appnexus.net. 1 86400 30 86400 30","null","null","","","","","","","","","","","","","","","","","","","null","null","adnxs.com"
"","","74.6.143.26","US","2006-02-13","2019-03-22T16:00:03-04:00","2006-02-13T15:55:11-05:00","2001:4998:24:120d::1:0","US","2005-10-27","2019-05-01T13:14:48-04:00","2005-10-27T19:09:00-04:00","","","","1 mta6.am0.yahoodns.net.","1 mta7.am0.yahoodns.net.","1 mta5.am0.yahoodns.net.","","","","","ns2.yahoo.com.","ns5.yahoo.com.","ns3.yahoo.com.","ns1.yahoo.com.","ns4.yahoo.com.","","","","","","","","","ns1.yahoo.com. hostmaster.yahoo-inc.com. 2023121109 3600 300 1814400 600","null","","""google-site-verification=xoBvU6aKxP0gYgNL0iXqF0EccAg6nFrO7XxsHnc3iNQ""","""facebook-domain-verification=gysqrcd69g0ej34f4jfn0huivkym1p""","""edb3bff2c0d64622a9b2250438277a59""","""google-site-verification=Z3-Vh6zqUMgybVH4wQl1GxKSKN7JE13kyCyeZ3TZZ-I""","""Zoom=13284637""","""v=spf1 redirect=_spf.mail.yahoo.com""","""google-site-verification=GLp01gkFNopm_JItbLxml4iuVbTgJa3rKu0-eq1RvsE""","""google-site-verification=2b0Glh8l2icXIAgAcjOcFx16Jt26yWDgEyrk5hPD-ZY""","""google-site-verification=w4N2bNopAWw1xYrdXKORILxx-WW3_LIiyX6dIMIidgk""","""_globalsign-domain-verification=8DPEanqC-w2Z26VeL5Sn4zBI7cZPCFqrNU5dMKMKeP""","""google-site-verification=2b8irRvU5a2h4Mb-H_fdqNrqWjS00qmPfPcWqm8BhxI""","""_globalsign-domain-verification=+uiRDFpnx6nJGVVEhYUSY24UssVdnBCFzI0V5Stm7bE=""","","","","","","","null","null","yahoo.com"
"","","98.137.11.164","US","2007-12-07","2019-05-01T13:13:23-04:00","2007-12-07T11:12:01-05:00","2001:4998:124:1507::f001","US","2005-10-27","2019-05-01T13:14:48-04:00","2005-10-27T19:09:00-04:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","74.6.143.25","US","2006-02-13","2019-03-22T16:00:03-04:00","2006-02-13T15:55:11-05:00","2001:4998:124:1507::f000","US","2005-10-27","2019-05-01T13:14:48-04:00","2005-10-27T19:09:00-04:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
