A,AAAA,A__ip_address,A__country_code,A__asn_date,A__reg_timestamp,A__last_updated,AAAA__ip_address,AAAA__country_code,AAAA__asn_date,AAAA__reg_timestamp,AAAA__last_updated,MX,NS,SOA,MX__001,MX__002,MX__003,MX__004,MX__005,MX__006,MX__007,MX__008,NS__001,NS__002,NS__003,NS__004,NS__005,NS__006,NS__007,NS__008,NS__009,NS__010,NS__011,NS__012,NS__013,NS__014,NS__015,SOA__-,CNAME,TXT,TXT__001,TXT__002,TXT__003,TXT__004,TXT__005,TXT__006,TXT__007,TXT__008,TXT__009,TXT__010,TXT__011,TXT__012,TXT__013,TXT__014,TXT__015,TXT__016,TXT__017,TXT__018,TXT__019,TXT__020,TXT__021,SRV,PTR,domain_name
,,199.59.243.225,US,2010-12-09,2021-10-15T16:41:51-04:00,2021-01-11T18:36:42-05:00,,,,,,,,,,,,,,,,,ns1.bodis.com.,ns2.bodis.com.,,,,,,,,,,,,,,ns1.bodis.com. dnsadmin.bodis.com. 2017062202 10800 3600 1209600 3600,,,,,,,,,,,,,,,,,,,,,,,,,,dreamlinux.info
,,95.211.219.66,NL,2009-02-05,2011-11-01T14:49:17Z,2015-09-30T22:18:23Z,,,,,,,,,1 mail.h-email.net.,,,,,,,,ns1.hastydns.com.,ns2.hastydns.com.,,,,,,,,,,,,,,ns1.hastydns.com. admin.hacktolive.org. 2023112105 86400 10800 604800 300,,,"""v=spf1 ip6:fd9c:d030:168c::/48 -all""",,,,,,,,,,,,,,,,,,,,,,,hacktolive.org
,,92.249.45.141,DE,2018-11-21,2019-06-24T13:05:14Z,2022-10-18T05:04:28Z,,,,,,,,,0 mandriva.com.,,,,,,,,cdns1.main-hosting.eu.,cdns2.main-hosting.eu.,,,,,,,,,,,,,,cdns1.main-hosting.eu. cpanel.main-hosting.eu. 2023120800 3600 7200 1209600 86400,,,"""google-site-verification=Iv32MJaoFa3PSqusEr0Q8u7goz5kWcCxos26aoh1zDo""","""v=spf1  a  mx  ip4:92.249.45.104  include:relay.mailchannels.net ~all""",,,,,,,,,,,,,,,,,,,,,,mandriva.com
,,72.52.178.23,US,2006-08-03,2016-12-19T08:40:37-05:00,2006-08-03T14:25:29-04:00,,,,,,,,,10 mx156.hostedmxserver.com.,,,,,,,,ns2.parklogic.com.,ns1.parklogic.com.,,,,,,,,,,,,,,ns1.parklogic.com. hostmaster.useragentswitch.com. 2023111601 3600 7200 1209600 3600,,,"""v=spf1 -all""",,,,,,,,,,,,,,,,,,,,,,,useragentswitch.com
,,104.21.21.165,US,2014-03-28,2021-05-26T18:01:10-04:00,2014-03-28T11:30:55-04:00,2606:4700:3037::ac43:c79f,US,2011-11-01,2017-02-17T18:07:51-05:00,2011-11-01T15:59:58-04:00,,,,,,,,,,,,gabriel.ns.cloudflare.com.,vivienne.ns.cloudflare.com.,,,,,,,,,,,,,,gabriel.ns.cloudflare.com. dns.cloudflare.com. 2322972974 10000 2400 604800 1800,,,,,,,,,,,,,,,,,,,,,,,,,,dev-nano.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adblocker-app.info
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,block-ads-now.com
,,205.177.122.154,US,1995-03-20,2012-04-06T03:15:45-04:00,2012-04-06T03:15:45-04:00,,,,,,,,,,,,,,,,,dns1.registrar-servers.com.,dns2.registrar-servers.com.,,,,,,,,,,,,,,dns1.registrar-servers.com. hostmaster.registrar-servers.com. 1573462890 43200 3600 604800 3601,,,,,,,,,,,,,,,,,,,,,,,,,,inside3d.com
,,64.91.249.20,US,2001-07-20,2012-02-24T09:44:34-05:00,2001-07-20T00:00:00-04:00,,,,,,,,,10 mx156.hostedmxserver.com.,,,,,,,,ns1.parklogic.com.,ns2.parklogic.com.,,,,,,,,,,,,,,ns1.parklogic.com. hostmaster.viaarena.com. 2019102301 3600 7200 1209600 3600,,,"""v=spf1 -all""",,,,,,,,,,,,,,,,,,,,,,,viaarena.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qasirgame.com
